road_edge_id,original_u,original_v,original_key,original_osmid,road_node_u,road_node_v
edge_005460,1837724855,606142362,0,"[865448521, 865458858, 76966759]",node_004749,node_005818
edge_005461,1201534136,1634491093,0,150550326,node_004750,node_002303
edge_005462,1201534136,1201534486,0,104129562,node_004750,node_004852
edge_005463,1190950077,1190950055,0,103143707,node_004751,node_004743
edge_005464,1190950077,31017991,0,"[1289021025, 1052911052, 1072921774]",node_004751,node_000940
edge_005465,1190950081,1190950038,0,103143723,node_004752,node_004741
edge_005466,1190950081,294122642,0,"[1072921789, 103253069, 1150064775]",node_004752,node_004738
edge_005467,8850142406,8850181241,0,956270441,node_004753,node_000975
edge_005468,605287625,605287085,0,"[47575299, 188117113, 47575371]",node_004754,node_004512
edge_005469,605287625,605287059,0,183789590,node_004754,node_004505
edge_005470,1190950092,1190950077,0,1052911052,node_004755,node_004751
edge_005471,8850142412,2409402261,0,956270444,node_004756,node_001202
edge_005472,393721047,1808447275,0,"[169678200, 169678194]",node_004757,node_005009
edge_005473,393721047,1808447568,0,"[32881090, 253134388]",node_004757,node_005161
edge_005474,10048648408,1192323533,0,103255991,node_004758,node_003754
edge_005475,1201534172,1201534354,0,104129572,node_004759,node_004806
edge_005476,1837724896,1837724855,0,"[865448518, 937453480, 937453483, 937453485, 937453488, 1293093812, 172938394]",node_004761,node_004749
