road_node_id,original_node_id,x,y
node_000105,1211859237,116.592271,40.051734
node_000106,35553582,116.4558919,39.9143716
node_000107,1765245230,116.4684562,39.8384851
node_000108,2057273647,116.4126609,39.9871153
node_000109,9123496241,116.2062097,39.688842
node_000110,2057273650,116.4130564,39.9872842
node_000111,1211859258,116.5834844,40.0606091
node_000112,6431031614,116.153493,39.9231064
node_000113,1652916545,116.3291604,40.0969715
node_000114,1226801474,116.5188376,40.0408585
node_000115,529547599,116.2820714,39.8753404
node_000116,124174677,116.3228902,39.9060507
node_000117,1765245278,116.4699621,39.8403771
node_000118,237535582,116.3556292,39.9661735
node_000119,331006306,116.4682505,39.8051804
node_000120,9128542575,116.4733248,39.7078646
node_000121,604782965,116.3041578,39.885485
node_000122,1765245310,116.4724022,39.841268
node_000123,1765245311,116.4730243,39.8414721
node_000124,1985003911,116.4703978,39.8034947
node_000125,1985003913,116.4706294,39.8035036
node_000126,12968903053,116.2966265,39.8796608
node_000127,10833985942,116.4593626,39.9072661
node_000128,12735857053,116.2338671,39.8565876
node_000129,1985003933,116.4699517,39.8038506
node_000130,1296155048,116.2586294,39.9061598
node_000131,1230291369,116.4628503,39.835085
node_000132,264602029,116.5594779,40.0316244
node_000133,9814884785,116.3483844,39.9684006
node_000134,12553929137,116.6535127,39.7174686
node_000135,1230291378,116.439962,39.8311378
node_000136,12553929140,116.6535225,39.7175532
node_000137,9814884786,116.3485456,39.9680921
node_000138,264602039,116.57157,40.0392369
node_000139,1610662329,116.3821306,39.8693723
node_000140,1230291386,116.4365785,39.8309442
node_000141,1610662333,116.3813407,39.8694886
node_000142,1610662334,116.3818079,39.8695465
node_000143,2575647166,116.453985,39.9627275
node_000144,1230291389,116.4061043,39.830602
node_000145,2575647165,116.4537555,39.9625118
node_000146,245154243,116.4853896,39.9076936
node_000147,11517182409,116.7288154,39.7221296
node_000148,1230291404,116.4005568,39.8309672
node_000149,1985003981,116.4689643,39.8047847
node_000150,5202428370,116.5375612,39.8918779
node_000151,5582848470,116.1646373,40.1615959
node_000152,1230291414,116.3995494,39.8306423
node_000153,288195033,116.2887808,39.9824045
node_000154,5202428378,116.5497082,39.8933563
node_000155,5202428380,116.5458865,39.8930832
node_000156,5202428386,116.5463465,39.8927205
node_000157,1230291427,116.4052829,39.8309713
node_000158,1230291428,116.4564754,39.8322984
node_000159,12553929190,116.6195084,39.7188054
node_000160,12553929191,116.6194674,39.7189447
node_000161,1101169133,116.3262071,39.8958832
node_000162,1101169134,116.3387149,39.8966511
node_000163,384254446,116.5363213,39.8678887
node_000164,12553929200,116.613267,39.7096259
node_000165,384254449,116.520007,39.8685306
node_000166,2812592626,116.7543446,39.8468623
node_000167,1101169139,116.3217557,39.8957015
node_000168,1101169140,116.3263014,39.8957313
node_000169,1101169141,116.338843,39.8962536
node_000170,1101169142,116.3254685,39.8955559
node_000171,1101169143,116.3217413,39.8958424
node_000172,1230291442,116.4062061,39.8311641
node_000173,1230291444,116.4053711,39.8308138
node_000174,321208821,116.4849904,39.9067964
node_000175,1101169148,116.325407,39.89602
node_000176,1230291454,116.3994131,39.8311558
node_000177,605340158,116.3421122,39.7770302
node_000178,1101169154,116.3203081,39.8955915
node_000179,1230291461,116.4123333,39.8305985
node_000180,1985004038,116.4711733,39.8059156
node_000181,2099577353,116.4983392,39.9069839
node_000182,12781978121,116.5997555,39.91153
node_000183,1230291468,116.4119202,39.8309851
node_000184,1230291470,116.4132585,39.8313453
node_000185,1230291472,116.462961,39.8345374
node_000186,1230291480,116.4003257,39.8308169
node_000187,610845208,116.2774746,40.1093704
node_000188,12198445594,116.628756,40.077353
node_000189,12198445595,116.5960624,40.1419957
node_000190,9125921307,116.2102682,39.7137966
node_000191,9125921311,116.2104014,39.7137897
node_000192,1230291488,116.4227311,39.8311661
node_000193,610845224,116.2775665,40.1095249
node_000194,9324708393,116.1361393,39.888374
node_000195,9025815082,116.4458122,39.9577484
node_000196,538427946,116.0928684,39.9680362
